date,open,high,low,close
2024-05-14 15:00:00+00:00,61785.06,62022.4,61641.87,61772.8
2024-05-14 16:00:00+00:00,61773.0,61798.07,61219.6,61409.14
2024-05-14 17:00:00+00:00,61408.46,61501.84,61150.67,61297.68
2024-05-14 18:00:00+00:00,61297.68,61439.98,61215.13,61417.26
2024-05-14 19:00:00+00:00,61417.26,61655.46,61385.49,61579.48
2024-05-14 20:00:00+00:00,61581.27,61680.88,61543.6,61592.94
2024-05-14 21:00:00+00:00,61593.12,61773.96,61459.71,61679.08
2024-05-14 22:00:00+00:00,61679.38,61751.12,61557.72,61694.93
2024-05-14 23:00:00+00:00,61694.43,61711.6,61527.25,61563.41
2024-05-15 00:00:00+00:00,61563.41,61764.66,61316.01,61409.93
2024-05-15 01:00:00+00:00,61409.94,61718.98,61404.09,61665.59
2024-05-15 02:00:00+00:00,61664.88,61867.75,61662.61,61746.33
2024-05-15 03:00:00+00:00,61747.49,61995.19,61743.48,61920.22
2024-05-15 04:00:00+00:00,61920.22,61949.77,61790.31,61871.57
2024-05-15 05:00:00+00:00,61871.56,62025.15,61852.77,61898.92
2024-05-15 06:00:00+00:00,61898.91,61952.89,61805.42,61931.84
2024-05-15 07:00:00+00:00,61931.83,62237.59,61860.34,62164.67
2024-05-15 08:00:00+00:00,62164.67,62235.15,62017.79,62115.17
2024-05-15 09:00:00+00:00,62114.96,62862.82,61905.96,62624.61
2024-05-15 10:00:00+00:00,62624.26,62953.91,62359.96,62647.39
2024-05-15 11:00:00+00:00,62646.92,62791.21,62238.31,62437.05
2024-05-15 12:00:00+00:00,62437.05,64104.62,62396.06,63719.17
2024-05-15 13:00:00+00:00,63718.9,64610.52,63511.42,64111.54
2024-05-15 14:00:00+00:00,64111.43,64461.57,63967.47,64461.27
2024-05-15 15:00:00+00:00,64461.94,65018.88,64363.65,64684.94
2024-05-15 16:00:00+00:00,64684.94,65080.85,64682.87,64728.93
2024-05-15 17:00:00+00:00,64729.4,65088.35,64729.4,65030.78
2024-05-15 18:00:00+00:00,65031.1,65745.41,64940.93,65676.68
2024-05-15 19:00:00+00:00,65676.68,66371.12,65281.96,65980.03
2024-05-15 20:00:00+00:00,65980.03,66045.05,65720.64,65897.16
